id,name,email,description,impact,urgency,worknotes,assignment_group,state,date
3,New,,anchetc@aklc.govt.nz,1 - 4 Users,Impeding normal work,,,New,2024-01-24 11:16:23.821095+00:00
4,Chris,anchetc@aklc.govt.nz,Test                        ,1 - 4 Users,Impeding normal work,Test                        ,Ops Automation,New,2024-01-24 11:22:29.781207+00:00
5,Cassey,cassey@gmail.com,Test                        ,1 - 4 Users,Impeding normal work,Cassey Notes                        ,Info Apps Web Solutions,New,2024-01-24 19:11:02.314446+00:00
6,Cassey,cassey@gmail.com,Test                        ,1 - 4 Users,Impeding normal work,Cassey Notes                        ,Info Apps Web Solutions,New,2024-01-24 19:11:26.843057+00:00
7,fgsdfgsd,fdsfds@gmailc.om,fgsdfsdfds                        ,1 - 4 Users,Impeding normal work,                        fdsfsdfdsfds,Business Systems Saas Practice,New,2024-01-24 19:11:45.223570+00:00
8,fdsfsd,a@gmail.com,fdsfds                        ,1 - 4 Users,Impeding normal work,fjidsjhfkdjsfh                        ,Business Systems Saas Practice,New,2024-01-24 19:12:31.228365+00:00
9,fafsd,fsdfsd@gmailc.om,dfsdfsd                        ,1 - 4 Users,Preventing non-urgent work,             fdsfsdfsdfsd           ,Ops Applications,In Progress,2024-01-24 19:12:52.388721+00:00
10,fdsf,fdsfs@gmail.com,fdsfdsfds                        ,1 - 4 Users,Preventing non-urgent work,              fdsfsdfsd          ,Info Apps Web Solutions,New,2024-01-24 19:14:49.685292+00:00
11,fsdfsd,fdsfds@fdsfs.com,dsfsdfsd                        ,1 - 4 Users,Impeding normal work,fdsfdsfds                        ,Info Apps Web Solutions,New,2024-01-24 19:17:30.847028+00:00
12,dfsafd,fsdfds@gmailc.om,fdsfds                        ,1 - 4 Users,Impeding normal work,dfsdfsd                        ,Business Systems Saas Practice,New,2024-01-24 19:18:39.209539+00:00
13,dfsafd,fsdfds@gmailc.om,fdsfds                        ,1 - 4 Users,Impeding normal work,dfsdfsd                        ,Business Systems Saas Practice,New,2024-01-24 19:20:35.217820+00:00
